11;16384;0
21;16384;16384
31;16384;32768
41;16384;49152
51;16384;65536
61;16384;81920
71;16384;98304
81;16384;114688
91;16384;131072
13;16384;147456
23;16384;163840
33;16384;180224
43;16384;196608
53;16384;212992
63;16384;229376
73;16384;245760
83;16384;262144
93;16384;278528
15;16384;294912
25;16384;311296
35;16384;327680
45;16384;344064
55;16384;360448
65;16384;376832
75;16384;393216
85;16384;409600
95;16384;425984
16;16384;442368
26;16384;458752
36;16384;475136
46;16384;491520
56;16384;507904
66;16384;524288
76;16384;540672
86;16384;557056
96;16384;573440
12;16384;589824
14;16384;606208
24;16384;622592
34;16384;638976
44;16384;655360
54;16384;671744
64;16384;688128
74;16384;704512
84;16384;720896
94;16384;737280
104;16384;753664
17;24576;770048
27;24576;794624
37;24576;819200
47;24576;843776
57;24576;868352
67;24576;892928
77;24576;917504
87;24576;942080
97;24576;966656
18;24576;991232
28;24576;1015808
38;24576;1040384
48;24576;1064960
58;24576;1089536
68;24576;1114112
78;24576;1138688
88;24576;1163264
98;24576;1187840
19;24576;1212416
29;24576;1236992
39;24576;1261568
49;24576;1286144
59;24576;1310720
69;24576;1335296
79;24576;1359872
89;24576;1384448
99;24576;1409024
110;24576;1433600
210;24576;1458176
310;24576;1482752
410;24576;1507328
510;24576;1531904
610;24576;1556480
710;24576;1581056
810;24576;1605632
910;24576;1630208
